Lp,"Numer RSPO","Typ szkoły_placówki","Nazwa szkoły_placówki","Liczba uczniów ogółem","Liczba oddziałów ogółem","wychowanie przedszkolne","klasa wstępna","klasa I","klasa II","klasa III","klasa IV","klasa V","klasa VI","klasa VII","klasa VIII","Typ organu prowadzącego","Organ prowadzący",Wojewodztwo,Powiat,Gmina,Miejscowość,Ulica,"Nr domu","Nr lokalu","Kod pocztowy",Poczta,Telefon,"Specyfika szkoły","Kategoria uczniów","Publiczność szkoły_placówki"
59,13079,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 61 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W KRAKOWIE",438,21,0,0,66,56,66,61,49,50,46,44,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Wacława Popławskiego",17,,30-818,Kraków,126580921,"brak specyfiki","Dzieci lub młodzież",publiczna
60,13451,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 134 IM. STANISŁAWA LEMA W KRAKOWIE",453,22,0,0,84,74,71,58,47,60,39,20,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Kłuszyńska,46,,30-499,Kraków,122649063,"brak specyfiki","Dzieci lub młodzież",publiczna
61,13615,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 93 IM. LUCJANA RYDLA W KRAKOWIE",661,26,0,0,74,83,104,77,84,85,78,76,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Feliksa Szlachtowskiego",31,,30-132,Kraków,126370110,"brak specyfiki","Dzieci lub młodzież",publiczna
62,14058,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 38 IM. BRACTWA KURKOWEGO W KRAKOWIE",596,26,0,0,81,89,86,68,73,73,71,55,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"płk. Francesco Nullo",23,,31-543,Kraków,124116544,"brak specyfiki","Dzieci lub młodzież",publiczna
63,14421,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 40 IM. ŚW. STANISŁAWA BISKUPA I MĘCZENNIKA W KRAKOWIE",569,25,0,0,74,59,65,60,70,83,84,74,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Pszczelna,13,,30-385,Kraków,122667898,"brak specyfiki","Dzieci lub młodzież",publiczna
64,15134,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 62 IM. KMDR. POR. FRANCISZKA DĄBROWSKIEGO W KRAKOWIE",266,15,0,0,39,28,34,31,32,40,26,36,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Ćwikłowa,1,,30-377,Kraków,122662850,"brak specyfiki","Dzieci lub młodzież",publiczna
65,18548,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 43 IM. KOMISJI EDUKACJI NARODOWEJ W KRAKOWIE",518,21,0,0,61,59,49,82,68,60,81,58,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Myślenicka,112,,30-698,Kraków,126547331,"brak specyfiki","Dzieci lub młodzież",publiczna
66,19078,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 151 IM. UNIWERSYTETU JAGIELLOŃSKIEGO W KRAKOWIE",931,42,15,0,108,121,132,143,140,107,96,69,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Wacława Lipińskiego",2,,30-349,Kraków,122665497,"brak specyfiki","Dzieci lub młodzież",publiczna
67,19171,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 90 IM. POLSKICH KAWALERÓW MALTAŃSKICH W KRAKOWIE",665,31,0,0,85,68,92,88,87,83,101,61,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Czarnogórska,14,,30-638,Kraków,126553504,"brak specyfiki","Dzieci lub młodzież",publiczna
68,19214,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 91 IM. JANUSZA KUSOCIŃSKIEGO W KRAKOWIE",687,33,0,0,98,79,69,85,93,90,96,77,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Handlowe",4,,31-935,Kraków,126442475,"brak specyfiki","Dzieci lub młodzież",publiczna
69,19232,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 105 IM. LUDWIKI WAWRZYŃSKIEJ W KRAKOWIE",305,17,0,0,36,40,35,36,33,39,37,49,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Słoneczne",12,,31-957,Kraków,126440895,"brak specyfiki","Dzieci lub młodzież",publiczna
70,19279,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 138 IM. POLSKICH WOJSK LOTNICZYCH W KRAKOWIE",376,18,17,0,50,43,58,44,45,51,42,26,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Kazimierza Wierzyńskiego",3,,30-198,Kraków,126379945,"brak specyfiki","Dzieci lub młodzież",publiczna
71,19280,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 53 IM. JANA HENRYKA DĄBROWSKIEGO W KRAKOWIE",734,34,0,0,111,112,98,98,79,75,93,68,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Skośna,8,,30-383,Kraków,122622027,"brak specyfiki","Dzieci lub młodzież",publiczna
72,19374,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 75 W KRAKOWIE",401,20,0,0,50,52,46,48,62,68,38,37,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Grochowska,20,,31-521,Kraków,124112948,"brak specyfiki","Dzieci lub młodzież",publiczna
73,19466,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI SPORTOWYMI NR 5 IM. POLSKICH OLIMPIJCZYKÓW W KRAKOWIE",463,39,0,0,73,76,70,46,64,58,43,33,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Aleja Kijowska",8,,30-079,Kraków,126367093,"brak specyfiki","Dzieci lub młodzież",publiczna
74,19804,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 98 IM. HENRYKA SIENKIEWICZA W KRAKOWIE",579,28,0,0,86,85,69,82,73,67,76,41,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Na Stoku",52,,31-708,Kraków,126452663,"brak specyfiki","Dzieci lub młodzież",publiczna
75,19879,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 158 IM. PROFESORA JULIANA ALEKSANDROWICZA W KRAKOWIE",1000,41,0,0,115,123,142,127,146,143,109,95,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Strąkowa,3a,,30-410,Kraków,122601330,"brak specyfiki","Dzieci lub młodzież",publiczna
76,20007,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 29 IM. JANA MATEJKI W KRAKOWIE",424,20,13,0,54,49,40,61,50,56,56,45,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Aleja Edwarda Dembowskiego",12,,30-540,Kraków,126561544,"brak specyfiki","Dzieci lub młodzież",publiczna
77,20377,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 32 IM. KAROLA CHODKIEWICZA W KRAKOWIE",248,12,0,0,30,35,45,18,25,25,43,27,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Królowej Jadwigi",78,,30-209,Kraków,124251098,"brak specyfiki","Dzieci lub młodzież",publiczna
78,20399,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 132 IM. ŚW. BENEDYKTA Z NURSJI W KRAKOWIE",183,11,0,0,31,25,22,25,27,21,25,7,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Bolesława Śmiałego",6,,30-398,Kraków,122675233,"brak specyfiki","Dzieci lub młodzież",publiczna
79,20479,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 8 W KRAKOWIE",438,20,0,0,72,64,62,64,48,48,56,24,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Seweryna Goszczyńskiego",44,,30-724,Kraków,126532793,"brak specyfiki","Dzieci lub młodzież",publiczna
80,20672,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 157 IM. IGNACEGO JANA PADEREWSKIEGO W KRAKOWIE",249,15,0,0,53,48,30,32,28,19,24,15,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Ludwika Rydygiera",20,,30-695,Kraków,126577562,"brak specyfiki","Dzieci lub młodzież",publiczna
81,21019,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 87 - SPORTOWA IM. DR. HENRYKA JORDANA W KRAKOWIE",297,15,0,0,30,35,42,45,38,24,60,23,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Teatralne",35,,31-948,Kraków,126442309,"brak specyfiki","Dzieci lub młodzież",publiczna
82,21409,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 135 IM. KSIĘDZA PROFESORA JÓZEFA TISCHNERA W KRAKOWIE",270,15,0,0,36,40,31,32,34,43,19,35,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Mirtowa,2,,30-698,Kraków,126549077,"brak specyfiki","Dzieci lub młodzież",publiczna
83,21619,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 34 IM. OBROŃCÓW POCZTY POLSKIEJ W GDAŃSKU W KRAKOWIE",446,19,0,0,58,52,47,53,56,73,68,39,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Urzędnicza,65,,30-074,Kraków,126330458,"brak specyfiki","Dzieci lub młodzież",publiczna
84,21688,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 68 IM. JERZEGO BIŃCZYCKIEGO W KRAKOWIE",558,24,0,0,92,75,62,81,65,77,67,39,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Porzeczkowa,3,,31-234,Kraków,124154708,"brak specyfiki","Dzieci lub młodzież",publiczna
85,21785,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 56 IM. TADEUSZA REJTANA W KRAKOWIE",451,21,0,0,74,60,71,51,56,59,47,33,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Aleksandra Fredry",65,,30-605,Kraków,122664861,"brak specyfiki","Dzieci lub młodzież",publiczna
86,22111,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 47 IM. STEFANA CZARNIECKIEGO W KRAKOWIE",910,40,0,0,133,157,114,118,116,122,82,68,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Myśliwska,64,,30-718,Kraków,126532145,"brak specyfiki","Dzieci lub młodzież",publiczna
87,22235,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 54 IM. JULIANA TUWIMA W KRAKOWIE",302,16,0,0,37,54,24,43,38,38,44,24,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Tyniecka,122,,30-376,Kraków,122675853,"brak specyfiki","Dzieci lub młodzież",publiczna
88,23146,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 16 IM. JANA ŚNIADECKIEGO W KRAKOWIE",193,10,0,0,25,38,17,25,27,16,23,22,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Józefa Dietla",70,,31-073,Kraków,124211870,"brak specyfiki","Dzieci lub młodzież",publiczna
89,23163,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 36 IM. HENRYKA SIENKIEWICZA W KRAKOWIE",315,15,0,0,35,26,31,32,48,42,55,46,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Mazowiecka,70,,30-019,Kraków,126336224,"brak specyfiki","Dzieci lub młodzież",publiczna
90,24903,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 85 IM. KS. KAZIMIERZA JANCARZA W KRAKOWIE",357,17,17,0,34,33,45,48,46,44,48,42,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Złotego Wieku",4,,31-615,Kraków,126483780,"brak specyfiki","Dzieci lub młodzież",publiczna
91,25872,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 95 IM. WŁADYSŁAWA BRONIEWSKIEGO W KRAKOWIE",539,26,0,0,54,75,60,58,79,86,63,64,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Wileńska,9B,,31-413,Kraków,124114934,"brak specyfiki","Dzieci lub młodzież",publiczna
92,25873,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 137 IM. PROFESORA WIKTORA ZINA W KRAKOWIE",237,12,90,0,25,20,22,23,13,12,17,15,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Feliksa Wrobela",79,,30-798,Kraków,126532291,"brak specyfiki","Dzieci lub młodzież",publiczna
93,25874,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 41 IM. JANA KOCHANOWSKIEGO W KRAKOWIE",336,17,0,0,45,36,39,37,42,36,56,45,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Erazma Jerzmanowskiego",6,,30-836,Kraków,126584328,"brak specyfiki","Dzieci lub młodzież",publiczna
94,27028,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 71 W KRAKOWIE",123,23,0,0,7,11,24,22,14,14,17,14,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Sportowe",28,,31-966,Kraków,126443417,specjalna,"Dzieci lub młodzież",publiczna
95,27060,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 79 IM. JÓZEFY JOTEYKO W KRAKOWIE",65,19,0,0,8,4,14,14,4,10,6,5,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Tadeusza Ptaszyckiego",9,,31-979,Kraków,126440783,specjalna,"Dzieci lub młodzież",publiczna
96,27075,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 140 IM. STANISŁAWA WYSPIAŃSKIEGO W KRAKOWIE",192,8,0,0,21,26,27,23,27,26,21,21,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Romana Prawocheńskiego",7,,31-998,Kraków,126450887,"brak specyfiki","Dzieci lub młodzież",publiczna
97,27078,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 108 IM. ALINY FEDOROWICZ W KRAKOWIE",59,24,0,0,7,2,5,8,2,18,11,6,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Wielicka,265,,30-663,Kraków,123339499,specjalna,"Dzieci lub młodzież",publiczna
98,27118,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 44 IM. JANA BRZECHWY W KRAKOWIE",122,26,0,0,8,11,16,12,14,22,13,26,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Zakątek,2,,30-076,Kraków,124225712,specjalna,"Dzieci lub młodzież",publiczna
99,27126,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 150 W KRAKOWIE",57,25,0,0,5,6,5,4,8,0,15,14,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Aleja Adolfa Dygasińskiego",25,,30-820,Kraków,126591512,specjalna,"Dzieci lub młodzież",publiczna
100,28043,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 122 IM. JANUSZA KORCZAKA W KRAKOWIE",43,16,0,0,4,7,7,2,1,9,4,9,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"dr. Józefa Babińskiego",29,,30-393,Kraków,126524672,specjalna,"Dzieci lub młodzież",publiczna
101,30102,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 65 IM. CZESŁAWA JANCZARSKIEGO W KRAKOWIE",192,8,0,0,24,24,26,20,19,25,27,27,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Golikówka,52,,30-723,Kraków,126532373,"brak specyfiki","Dzieci lub młodzież",publiczna
102,30103,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 52 IM. MARII DĄBROWSKIEJ W KRAKOWIE",571,28,0,0,95,81,77,50,73,73,70,52,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Dywizjonu 303",66,,31-875,Kraków,126480915,"brak specyfiki","Dzieci lub młodzież",publiczna
103,30104,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 80 IM. WOJCIECHA BOGUSŁAWSKIEGO W KRAKOWIE",399,19,0,0,72,70,45,59,32,55,27,39,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Na Skarpie",8,,31-909,Kraków,124259205,"brak specyfiki","Dzieci lub młodzież",publiczna
104,30235,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 156 IM. KS. KARD. ADAMA STEFANA SAPIEHY W KRAKOWIE",547,24,0,0,94,71,74,70,50,64,63,61,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Centralna,39,,31-586,Kraków,126449241,"brak specyfiki","Dzieci lub młodzież",publiczna
105,42327,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 131 IM. ŚW. MIKOŁAJA W KRAKOWIE",69,20,0,0,4,9,9,8,8,8,12,11,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Aleksandra Lubomirskiego",21,,31-509,Kraków,124210709,specjalna,"Dzieci lub młodzież",publiczna
106,85992,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 46 W KRAKOWIE",128,31,0,0,8,16,22,16,11,16,15,24,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Jana Zamoyskiego",100,,30-523,Kraków,126561356,specjalna,"Dzieci lub młodzież",publiczna
107,106853,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 73 W KRAKOWIE",85,21,4,0,9,4,12,6,11,7,12,20,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Tyniecka,6,,30-319,Kraków,122666680,specjalna,"Dzieci lub młodzież",publiczna
108,110376,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 154 W KRAKOWIE",88,15,2,0,5,5,6,14,17,14,12,13,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Niecała,8,,30-425,Kraków,122681167,specjalna,"Dzieci lub młodzież",publiczna
109,110431,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 59 W MŁODZIEŻOWYM OŚRODKU WYCHOWAWCZYM W KRAKOWIE",18,4,0,0,0,0,0,0,0,3,9,6,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Górka Narodowa",116,,31-234,Kraków,124150040,specjalna,"Dzieci lub młodzież",publiczna
110,114763,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 42 W KRAKOWIE",61,19,0,0,11,16,7,7,8,4,6,2,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Praska,64,,30-322,Kraków,122693550,specjalna,"Dzieci lub młodzież",publiczna
111,114765,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 6 W KRAKOWIE",41,19,0,0,2,10,6,6,5,3,1,8,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Hieronima Wietora",7,,31-067,Kraków,124305400,specjalna,"Dzieci lub młodzież",publiczna
112,115122,"Szkoła podstawowa","FILIA NR 1 SZKOŁY PODSTAWOWEJ SPECJALNEJ NR 6 W KRAKOWIE",,,,,,,,,,,,,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Zielone",28,,31-971,Kraków,126841772,specjalna,"Dzieci lub młodzież",publiczna
113,118587,"Szkoła podstawowa","SZKOŁA PODSTAWOWA SPECJALNA NR 9 W KRAKOWIE",118,39,0,0,12,13,18,19,11,14,15,16,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Spadochroniarzy,1,,31-455,Kraków,124111722,specjalna,"Dzieci lub młodzież",publiczna
114,133487,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 15 IM. KSIĘDZA KARDYNAŁA KAROLA WOJTYŁY W KRAKOWIE",275,15,0,0,40,55,42,31,48,40,19,0,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Kluczborska,3,,31-271,Kraków,126337460,"brak specyfiki","Dzieci lub młodzież",publiczna
115,133488,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 19 IM. KSIĘCIA JÓZEFA PONIATOWSKIEGO W KRAKOWIE",72,6,0,0,5,14,15,12,15,11,0,0,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Senatorska,35,,30-106,Kraków,124300025,"brak specyfiki","Dzieci lub młodzież",publiczna
116,133489,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 33 IM. KRÓLA STEFANA BATOREGO W KRAKOWIE",477,19,0,0,50,50,46,72,70,81,56,52,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Stanisława Konarskiego",2,,30-049,Kraków,126331383,"brak specyfiki","Dzieci lub młodzież",publiczna
117,133490,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 35 IM. KRÓLA JANA III SOBIESKIEGO W KRAKOWIE",85,5,0,0,21,22,17,14,11,0,0,0,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Złoty Róg",30,,30-095,Kraków,126370897,"brak specyfiki","Dzieci lub młodzież",publiczna
118,133491,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 39 IM. BARTOSZA GŁOWACKIEGO W KRAKOWIE",321,16,0,0,77,53,48,52,54,37,0,0,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Stanisława Jachowicza",5,,31-564,Kraków,124143736,"brak specyfiki","Dzieci lub młodzież",publiczna
119,133492,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 49 IM. JULIANA URSYNA NIEMCEWICZA W KRAKOWIE",462,22,0,0,61,58,53,67,75,60,55,33,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Józefa Montwiłła-Mireckiego",29,,30-426,Kraków,122680410,"brak specyfiki","Dzieci lub młodzież",publiczna
120,133493,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 77 IM. ŚWIĘTEGO MAKSYMILIANA MARII KOLBEGO W KRAKOWIE",358,18,19,0,65,63,60,46,52,33,20,0,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Złotego Wieku",36,,31-618,Kraków,126484400,"brak specyfiki","Dzieci lub młodzież",publiczna
121,133494,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 103 IM. KONSTANTEGO ILDEFONSA GAŁCZYŃSKIEGO W KRAKOWIE",306,15,0,0,59,42,46,35,42,48,0,34,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Kolorowe",29,,31-941,Kraków,126442172,"brak specyfiki","Dzieci lub młodzież",publiczna
122,133495,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 106 IM. ARTURA GROTTGERA W KRAKOWIE",297,12,0,0,72,74,53,47,27,24,0,0,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Litewska,34,,30-014,Kraków,126335912,"brak specyfiki","Dzieci lub młodzież",publiczna
