Lp,"Numer RSPO","Typ szkoły_placówki","Nazwa szkoły_placówki","Liczba uczniów ogółem","Liczba oddziałów ogółem","wychowanie przedszkolne","klasa wstępna","klasa I","klasa II","klasa III","klasa IV","klasa V","klasa VI","klasa VII","klasa VIII","Typ organu prowadzącego","Organ prowadzący",Wojewodztwo,Powiat,Gmina,Miejscowość,Ulica,"Nr domu","Nr lokalu","Kod pocztowy",Poczta,Telefon,"Specyfika szkoły","Kategoria uczniów","Publiczność szkoły_placówki"
17,7867,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 18 IM. ŚW. ANNY W KRAKOWIE",284,15,0,0,56,36,36,38,32,31,28,27,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Półkole,11,,31-559,Kraków,124115303,"brak specyfiki","Dzieci lub młodzież",publiczna
18,7868,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 58 IM. TADEUSZA KOŚCIUSZKI W KRAKOWIE",397,17,0,0,52,50,46,54,59,68,47,21,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Stanisława Pigonia",2,,31-230,Kraków,124151347,"brak specyfiki","Dzieci lub młodzież",publiczna
19,7869,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 64 IM. TADEUSZA KOŚCIUSZKI W KRAKOWIE",353,17,0,0,36,39,38,38,51,53,52,46,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Sadzawki,1,,31-465,Kraków,124111528,"brak specyfiki","Dzieci lub młodzież",publiczna
20,8184,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 12 IM. JANUSZA KORCZAKA W KRAKOWIE",390,19,0,0,39,55,59,45,58,44,49,41,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Aleja Kijowska",3,,30-079,Kraków,126333711,"brak specyfiki","Dzieci lub młodzież",publiczna
21,8636,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 55 IM. JAROSŁAWA IWASZKIEWICZA W KRAKOWIE",480,20,0,0,85,74,77,67,49,54,53,21,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Dobczycka,20,,30-620,Kraków,126550266,"brak specyfiki","Dzieci lub młodzież",publiczna
22,8719,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 67 IM. WŁADYSŁAWA ŁOKIETKA W KRAKOWIE",344,16,0,0,58,64,49,47,46,28,25,27,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Kaczorówka,4,,31-264,Kraków,124153185,"brak specyfiki","Dzieci lub młodzież",publiczna
23,8896,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 117 IM. KRAKOWSKIEJ KONGREGACJI KUPIECKIEJ W KRAKOWIE",373,16,0,0,48,56,47,51,41,51,45,34,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Jana Kurczaba",15,,30-868,Kraków,126582003,"brak specyfiki","Dzieci lub młodzież",publiczna
24,8914,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 82 IM. ŚWIĘTEJ JADWIGI KRÓLOWEJ POLSKI W KRAKOWIE",328,15,0,0,48,47,45,36,38,69,45,0,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Kalinowe",17,,31-814,Kraków,126484176,"brak specyfiki","Dzieci lub młodzież",publiczna
25,9036,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 24 IM. KRAKOWSKIEJ STRAŻY POŻARNEJ W KRAKOWIE",730,32,0,0,94,92,104,87,101,89,92,71,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Aleksandry,17,,30-837,Kraków,126581544,"brak specyfiki","Dzieci lub młodzież",publiczna
26,9138,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 111 IM. WOJSKA POLSKIEGO W KRAKOWIE",394,17,0,0,48,47,49,47,52,46,67,38,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Bieżanowska,204,,30-856,Kraków,126581327,"brak specyfiki","Dzieci lub młodzież",publiczna
